geonameid,name,country_code,country,latitude,longitude,elevation_m,population,timezone,duration_seconds,seconds_sacrificed,sun_altitude_deg,max_eclipse_ut_hours,distance_from_centerline_km,mean_cloud_percent,clear_sky_probability,cloud_observations,lodging_within_25km,camping_within_25km,lodging_within_80km,camping_within_80km
360748,Al Marāghah,EG,Egypt,26.69981,31.60464,65,53643,Africa/Cairo,380.0,3.1,81.06,10.023623,15.5,1.1,0.983,120,13,0,60,2
349600,Sāqultah,EG,Egypt,26.65817,31.67137,67,34273,Africa/Cairo,380.0,3.1,81.09,10.026981,15.5,1.7,0.958,120,12,0,53,3
361301,Al Ghanāyim,EG,Egypt,26.87524,31.32963,61,70884,Africa/Cairo,379.8,3.3,80.89,10.0097,16.0,0.7,0.992,120,8,0,56,1
347634,Ţahţā,EG,Egypt,26.76866,31.50198,66,134314,Africa/Cairo,379.8,3.3,80.99,10.018336,16.0,1.1,0.983,120,8,0,60,1
361391,Al Bayāḑīyah,EG,Egypt,25.66477,32.63539,86,23550,Africa/Cairo,379.1,4.0,81.8,10.086076,18.6,3.1,0.95,120,115,1,129,2
361394,Al Bawīţī,EG,Egypt,28.34827,28.86936,131,15653,Africa/Cairo,377.7,5.4,78.68,9.888796,19.2,0.9,0.983,120,14,0,14,0
350560,Qifţ,EG,Egypt,25.99845,32.81808,77,24010,Africa/Cairo,376.7,6.5,81.45,10.083362,22.2,1.9,0.967,120,8,0,126,2
347296,Ţimā,EG,Egypt,26.90843,31.43469,66,101130,Africa/Cairo,375.4,7.7,80.85,10.012447,25.0,1.0,0.992,120,8,0,56,1
360170,Armant,EG,Egypt,25.61988,32.54305,85,78695,Africa/Cairo,374.1,9.0,81.87,10.084127,28.1,3.6,0.933,120,115,1,131,2
348962,Şidfā,EG,Egypt,26.96637,31.37953,62,30228,Africa/Cairo,374.0,9.1,80.8,10.009079,27.1,1.0,0.992,120,8,0,56,1
347422,Ţūd,EG,Egypt,25.58278,32.5329,83,30780,Africa/Cairo,371.4,11.7,81.91,10.084774,32.0,3.6,0.933,120,115,1,133,2
362004,Abū Tīj,EG,Egypt,27.04514,31.31845,70,105418,Africa/Cairo,371.3,11.8,80.72,10.00498,30.9,0.7,0.992,120,29,0,56,1
361478,Al Badārī,EG,Egypt,26.99306,31.41605,62,56033,Africa/Cairo,370.8,12.3,80.77,10.009646,31.6,1.0,0.992,120,8,0,56,1
109253,Al Līth,SA,Saudi Arabia,20.14804,40.27224,6,72000,Asia/Riyadh,370.6,12.6,74.58,10.494209,3.5,28.5,0.525,120,2,0,2,0
350550,Qina,EG,Egypt,26.16418,32.72671,80,252883,Africa/Cairo,370.5,12.6,81.33,10.075853,31.7,2.0,0.958,120,7,0,126,3
88319,Benghazi,LY,Libya,32.11486,20.06859,3,757490,Africa/Tripoli,369.2,13.9,67.78,9.51323,0.8,5.9,0.917,120,74,3,134,14
359892,As Sāḩil,EG,Egypt,27.06309,31.34425,61,54094,Africa/Cairo,368.9,14.2,80.7,10.005406,34.0,0.7,0.992,120,30,1,56,1
359783,Assiut,EG,Egypt,27.18096,31.18368,56,528669,Africa/Cairo,367.4,15.8,80.57,9.996923,35.8,0.5,1.0,120,36,1,44,1
352913,Manfalūţ,EG,Egypt,27.3126,30.96987,58,117925,Africa/Cairo,367.2,15.9,80.42,9.986285,36.0,0.4,1.0,120,13,0,46,2
434418,An Nāşirīyah,EG,Egypt,27.20583,31.19639,59,22435,Africa/Cairo,364.6,18.5,80.55,9.996727,38.8,0.5,1.0,120,36,1,44,1
12495725,Bariq,SA,Saudi Arabia,18.92966,41.92953,412,75351,Asia/Riyadh,364.4,18.7,71.87,10.580843,10.9,54.6,0.075,120,0,0,9,3
360526,Al Qūşīyah,EG,Egypt,27.44023,30.81712,54,99598,Africa/Cairo,364.1,19.0,80.27,9.977855,39.3,0.4,0.992,120,0,0,49,2
110690,Abha,SA,Saudi Arabia,18.21639,42.50528,2228,210886,Asia/Riyadh,363.4,19.7,70.77,10.619556,7.2,69.7,0.033,120,14,1,37,2
362973,Abnūb,EG,Egypt,27.26881,31.15232,55,111785,Africa/Cairo,361.3,21.8,80.48,9.993629,42.1,0.5,1.0,120,36,1,44,1
89087,Al Abyār,LY,Libya,32.19,20.59653,289,32563,Africa/Tripoli,360.7,22.4,68.26,9.529783,27.8,4.7,0.883,120,1,2,168,20
105072,Khamis Mushait,SA,Saudi Arabia,18.3,42.73333,1998,387553,Asia/Riyadh,360.3,22.9,70.5,10.623547,15.9,69.7,0.05,120,16,0,34,2
8015577,Bāqim as Sūq,YE,Yemen,17.39713,43.47743,2117,0,Asia/Aden,360.2,22.9,69.05,10.672309,5.2,71.7,0.025,120,0,0,28,2
105343,Jeddah,SA,Saudi Arabia,21.49012,39.18624,7,4697000,Asia/Riyadh,359.6,23.5,76.38,10.420303,34.8,20.5,0.683,120,178,0,1038,590
399518,Al Majāridah,SA,Saudi Arabia,19.132,41.924,456,14830,Asia/Riyadh,357.6,25.6,71.97,10.57451,27.2,57.9,0.083,120,1,0,9,3
70346,Al ‘Inān,YE,Yemen,16.72189,44.31252,2131,100,Asia/Aden,357.4,25.7,67.57,10.71615,0.5,68.4,0.05,120,0,1,10,3
73668,Kitāf,YE,Yemen,17.03165,44.10905,1953,0,Asia/Aden,357.0,26.1,68.01,10.701076,10.2,71.0,0.05,120,0,0,16,2
7345723,Al Hijrah,YE,Yemen,17.29788,43.38718,2449,0,Asia/Aden,356.8,26.4,69.12,10.672832,19.8,71.3,0.025,120,2,0,38,2
406761,Rajūzah,YE,Yemen,16.70056,44.41454,2077,0,Asia/Aden,356.7,26.4,67.42,10.719596,5.1,65.7,0.075,120,0,1,9,2
406635,Al Ḩashwah,YE,Yemen,16.90641,44.27622,1537,0,Asia/Aden,356.0,27.2,67.72,10.709461,12.0,66.7,0.075,120,0,1,16,3
87192,Daryānah,LY,Libya,32.34751,20.30933,8,7558,Africa/Tripoli,355.9,27.3,67.85,9.517881,33.4,6.7,0.875,120,3,1,141,13
406884,Al Ḩumaydāt,YE,Yemen,16.4844,44.42934,1305,0,Asia/Aden,355.5,27.6,67.28,10.726487,11.5,62.1,0.067,120,0,0,9,3
406845,Al Khirāb,YE,Yemen,16.5544,44.29048,1380,0,Asia/Aden,354.8,28.3,67.51,10.720553,15.8,64.5,0.05,120,0,1,11,3
71334,Sa'dah,YE,Yemen,16.94021,43.76393,1876,51870,Asia/Aden,354.3,28.8,68.42,10.69426,22.1,71.9,0.025,120,5,1,14,2
79455,Al Ḩazm,YE,Yemen,16.16406,44.77692,1116,18241,Asia/Aden,353.9,29.2,66.64,10.745678,12.6,61.5,0.075,120,1,1,5,5
12500245,Sarāt ‘Abīdah,SA,Saudi Arabia,18.089,43.132,2325,19855,Asia/Riyadh,353.6,29.5,69.86,10.641422,26.9,72.8,0.058,120,0,0,33,1
8534038,Majz,YE,Yemen,17.06939,43.57507,2001,0,Asia/Aden,353.5,29.6,68.75,10.685046,25.1,75.2,0.017,120,4,1,28,1
81604,Qaryat Sulūq,LY,Libya,31.66818,20.25205,55,19918,Africa/Tripoli,353.2,30.0,68.3,9.526056,38.4,3.3,0.942,120,46,7,181,32
358269,Dayrūţ,EG,Egypt,27.55642,30.81057,51,102570,Africa/Cairo,352.6,30.5,80.15,9.974731,49.6,0.4,0.992,120,0,0,49,2
77529,Az Zāhir,YE,Yemen,16.31733,44.49505,1206,0,Asia/Aden,352.2,30.9,67.1,10.733355,20.4,57.9,0.117,120,0,0,8,5
407129,Ar Rawḑ,YE,Yemen,16.06145,44.81012,1099,0,Asia/Aden,351.8,31.3,66.53,10.749691,18.6,54.2,0.15,120,1,1,2,6
407042,Al Matūn,YE,Yemen,16.23063,44.58476,1164,0,Asia/Aden,351.6,31.5,66.93,10.738435,21.0,57.9,0.117,120,0,0,8,7
407048,Al Maşlūb,YE,Yemen,16.18271,44.62613,1152,0,Asia/Aden,351.0,32.1,66.85,10.741017,22.0,61.5,0.075,120,0,0,8,7
407036,Ḩişn Banī Sa‘d,YE,Yemen,16.27293,44.47728,1192,0,Asia/Aden,349.9,33.3,67.1,10.734217,25.4,57.9,0.117,120,0,0,10,5
407049,Al Ghayl,YE,Yemen,16.10774,44.68005,1137,0,Asia/Aden,349.7,33.4,66.73,10.74476,24.2,54.2,0.15,120,1,0,9,6
78019,Asdās,YE,Yemen,15.76601,45.08151,1102,0,Asia/Aden,348.7,34.4,66.0,10.765973,23.1,47.4,0.25,120,0,2,24,8
7683765,Ash Shawātī,YE,Yemen,16.78314,43.81265,1992,25,Asia/Aden,348.7,34.4,68.27,10.700424,31.5,71.8,0.017,120,3,0,12,2
77726,Ataq,YE,Yemen,14.53767,46.83187,1148,37315,Asia/Aden,347.0,36.1,62.95,10.848788,4.1,40.7,0.375,120,2,0,3,1
7345827,Sūq al Khamīs,YE,Yemen,17.18126,43.28811,1863,0,Asia/Aden,346.8,36.3,69.19,10.673532,36.5,73.8,0.008,120,9,0,44,2
13157454,Al-Juwain,SA,Saudi Arabia,17.53756,42.85038,950,3500,Asia/Riyadh,346.4,36.7,69.97,10.650098,38.5,63.3,0.125,120,1,1,71,1
77862,Aş Şa‘īd,YE,Yemen,14.33011,46.87292,1253,0,Asia/Aden,345.9,37.2,62.77,10.856047,9.9,52.0,0.225,120,2,0,2,1
8356686,Al Ḩuşūn,YE,Yemen,15.4739,45.36691,1076,0,Asia/Aden,345.9,37.2,65.45,10.782445,26.2,46.1,0.242,120,21,2,23,8
75518,Ḩabbān,YE,Yemen,14.35411,47.07649,973,0,Asia/Aden,345.6,37.5,62.52,10.860454,7.0,50.0,0.233,120,0,0,4,1
108617,An Nimas,SA,Saudi Arabia,19.14547,42.12009,2385,24153,Asia/Riyadh,344.9,38.2,71.7,10.580003,42.1,57.9,0.083,120,1,0,9,3
106667,Fayfā’,SA,Saudi Arabia,17.2806,43.13735,898,29793,Asia/Riyadh,344.9,38.3,69.45,10.666121,39.1,73.8,0.008,120,15,0,75,2
355449,Esna,EG,Egypt,25.29336,32.55402,86,462787,Africa/Cairo,344.5,38.6,82.15,10.093281,56.8,4.1,0.925,120,1,0,124,1
72968,Ma'rib,YE,Yemen,15.46253,45.32581,1095,16794,Asia/Aden,343.7,39.4,65.5,10.781696,30.1,46.1,0.242,120,21,2,24,8
11125824,AL-khashā upper,YE,Yemen,14.34044,46.71365,1260,1100,Asia/Aden,343.2,40.0,62.98,10.85168,20.7,52.0,0.225,120,0,0,2,1
8308217,Khimār,YE,Yemen,14.3198,46.73922,1300,3000,Asia/Aden,343.1,40.0,62.94,10.852956,20.5,52.0,0.225,120,0,0,2,1
72181,Nişāb,YE,Yemen,14.50743,46.49349,1088,0,Asia/Aden,342.9,40.2,63.38,10.841019,23.1,42.1,0.325,120,0,1,4,1
2473570,Mahires,TN,Tunisia,34.5275,10.50083,9,15878,Africa/Tunis,342.6,40.5,55.97,9.185014,9.1,2.8,0.975,120,3,0,84,2
84257,Qamīnis,LY,Libya,31.6576,20.01697,20,8688,Africa/Tripoli,342.6,40.6,68.06,9.518244,48.0,4.6,0.942,120,39,1,167,26
69769,‘Usaylān,YE,Yemen,15.03201,45.82832,1036,0,Asia/Aden,342.5,40.6,64.57,10.807974,28.7,43.2,0.258,120,0,1,24,3
359823,As Sibā‘īyah,EG,Egypt,25.19413,32.6771,86,21610,Africa/Cairo,342.1,41.0,82.18,10.100181,58.4,4.5,0.925,120,1,0,123,1
2466698,Sidi Abid,TN,Tunisia,34.69999,10.69501,15,33419,Africa/Tunis,341.6,41.5,56.11,9.189817,13.5,4.6,0.908,120,38,1,57,3
2472379,Bir Ali Ben Khalifa,TN,Tunisia,34.73592,10.0924,172,4905,Africa/Tunis,341.6,41.5,55.43,9.171975,5.8,1.8,0.967,120,0,0,42,1
2473859,Agareb,TN,Tunisia,34.74059,10.52527,83,11513,Africa/Tunis,340.7,42.4,55.9,9.184611,14.6,3.1,0.958,120,40,1,57,3
406737,Al Maḩjal,YE,Yemen,16.71169,44.84769,1436,0,Asia/Aden,340.2,42.9,66.84,10.731003,37.3,58.2,0.15,120,0,1,5,3
34717,Majzar,YE,Yemen,15.85,44.775,1206,0,Asia/Aden,339.6,43.5,66.46,10.755169,38.4,51.1,0.2,120,0,0,76,9
361405,Al Başalīyah Baḩrī,EG,Egypt,25.15,32.71667,84,32920,Africa/Cairo,339.6,43.5,82.2,10.102732,60.1,4.5,0.925,120,3,0,124,1
2467454,Sfax,TN,Tunisia,34.74056,10.76028,8,280566,Africa/Tunis,339.6,43.5,56.16,9.191521,19.2,4.6,0.908,120,41,1,57,3
11862748,Ben Aoun,TN,Tunisia,34.85261,9.14391,462,9297,Africa/Tunis,339.1,44.0,54.33,9.144016,1.4,2.4,0.958,120,0,0,48,0
2473776,Ghraiba,TN,Tunisia,34.49555,10.21113,37,3251,Africa/Tunis,339.1,44.0,55.66,9.176656,18.1,2.0,0.983,120,0,0,61,1
2473258,Er Regueb,TN,Tunisia,34.85932,9.78654,195,11420,Africa/Tunis,338.8,44.3,55.04,9.162526,13.6,1.8,0.983,120,0,0,10,0
406662,Sāqayn,YE,Yemen,16.877,43.52499,2272,41,Asia/Aden,338.8,44.3,68.71,10.689544,44.5,75.2,0.017,120,3,1,38,1
2473525,Mezzouna,TN,Tunisia,34.57758,9.84193,155,7390,Africa/Tunis,338.7,44.4,55.21,9.165435,16.1,2.1,0.967,120,1,0,10,0
358274,Dayr Mawās,EG,Egypt,27.64148,30.85012,51,60835,Africa/Cairo,338.5,44.6,80.07,9.973963,59.6,0.6,0.983,120,0,0,49,2
88967,Al Jaghbūb,LY,Libya,29.74262,24.51676,11,2768,Africa/Tripoli,338.1,45.0,74.1,9.706942,57.7,0.1,1.0,120,0,0,2,0
2473633,Kellabine,TN,Tunisia,34.70882,11.2147,3,15501,Africa/Tunis,338.0,45.2,56.68,9.205092,24.9,5.3,0.917,120,14,0,56,3
2472380,Bir el Hafey,TN,Tunisia,34.93212,9.19321,438,6498,Africa/Tunis,337.8,45.4,54.36,9.145114,11.0,3.3,0.925,120,0,0,48,0
78991,Al Maḩfid,YE,Yemen,14.05847,46.91329,660,0,Asia/Aden,337.7,45.4,62.55,10.865084,29.1,48.0,0.275,120,0,0,2,1
2473513,El Maknassi,TN,Tunisia,34.60433,9.60815,259,14773,Africa/Tunis,337.5,45.6,54.94,9.158493,17.5,2.2,0.958,120,1,0,12,0
7341410,Madghil,YE,Yemen,15.59858,45.04013,1197,0,Asia/Aden,337.4,45.7,65.96,10.769944,39.7,47.7,0.233,120,0,1,24,7
2471059,Feriana,TN,Tunisia,34.94529,8.56789,737,75000,Africa/Tunis,337.3,45.8,53.66,9.127216,1.9,4.3,0.917,120,0,0,58,1
2584420,Dar el Haj Taïeb,TN,Tunisia,34.78444,10.74389,24,26304,Africa/Tunis,337.3,45.8,56.12,9.190804,23.6,4.6,0.908,120,38,1,58,3
12056179,Shalātīn,EG,Egypt,23.13905,35.59821,11,12421,Africa/Cairo,337.3,45.9,80.88,10.256371,60.1,9.7,0.858,120,1,0,1,0
2473470,Gremda,TN,Tunisia,34.79075,10.72059,35,40862,Africa/Tunis,337.1,46.0,56.1,9.190085,23.8,4.6,0.908,120,38,1,58,3
2464569,Thelepte,TN,Tunisia,34.97776,8.59264,793,6932,Africa/Tunis,337.0,46.1,53.67,9.12779,5.8,4.3,0.917,120,0,0,58,1
2467243,Sakiet ed Daier,TN,Tunisia,34.79435,10.80617,12,125204,Africa/Tunis,336.1,47.0,56.19,9.192582,25.9,4.6,0.908,120,41,1,58,3
2467242,Sakiet ez Zit,TN,Tunisia,34.80194,10.76361,22,100000,Africa/Tunis,336.0,47.1,56.14,9.19129,25.9,4.6,0.908,120,38,1,58,3
2473835,El Ain,TN,Tunisia,34.8,10.78333,15,43333,Africa/Tunis,336.0,47.2,56.16,9.191881,26.1,4.6,0.908,120,41,1,58,3
8555994,Shalateen,EG,Egypt,23.13235,35.59094,10,12443,Africa/Cairo,335.6,47.5,80.89,10.256323,61.1,9.7,0.858,120,1,0,1,0
79531,Al Ḩarf,YE,Yemen,16.36395,44.09421,1570,0,Asia/Aden,335.5,47.6,67.66,10.720962,45.6,61.2,0.05,120,3,0,15,3
78141,Ar Rawḑah,YE,Yemen,14.46725,47.27638,839,0,Asia/Aden,335.4,47.7,62.32,10.862106,30.8,39.9,0.358,120,0,0,4,2
7346660,Al Kharāb,YE,Yemen,16.99129,43.33888,1630,0,Asia/Aden,335.1,48.1,69.03,10.680742,48.5,75.2,0.008,120,0,0,44,2
86002,Jardas al ‘Abīd,LY,Libya,32.30337,20.98615,627,6744,Africa/Tripoli,334.8,48.3,68.57,9.541064,53.8,2.7,0.975,120,6,0,37,6
13132701,Menzel Bouzaiane,TN,Tunisia,34.5732,9.42567,302,7113,Africa/Tunis,334.0,49.1,54.75,9.153332,24.1,2.2,0.958,120,2,0,15,0
2471992,Borj Mejen Bel Abbès,TN,Tunisia,34.7501,8.51976,643,6471,Africa/Tunis,333.1,50.0,53.68,9.126562,20.3,3.6,0.925,120,0,0,54,1
71687,Ruḑūm,YE,Yemen,14.0851,47.74314,166,0,Asia/Aden,331.5,51.6,61.48,10.885029,33.8,37.6,0.392,120,0,0,2,1
2465840,Sidi Bouzid,TN,Tunisia,35.03823,9.48494,332,47595,Africa/Tunis,331.1,52.1,54.64,9.153051,27.6,3.0,0.942,120,1,0,38,0
103630,Najrān,SA,Saudi Arabia,17.49326,44.12766,1310,505652,Asia/Riyadh,331.0,52.1,68.22,10.687449,49.3,59.0,0.117,120,9,0,14,1
352736,Marsa Alam,EG,Egypt,25.06305,34.89005,18,10000,Africa/Cairo,330.8,52.4,80.82,10.178287,63.8,3.3,0.933,120,28,7,63,7
2506404,Arris,DZ,Algeria,35.25881,6.34706,1205,36641,Africa/Algiers,330.2,52.9,51.1,9.064894,3.9,12.5,0.717,120,17,5,102,5
355635,Edfu,EG,Egypt,24.97916,32.87722,90,79510,Africa/Cairo,330.0,53.1,82.26,10.112874,65.8,4.7,0.933,120,7,0,9,0
107746,Badr al-Janūb,SA,Saudi Arabia,17.88528,43.71407,2108,2709,Asia/Riyadh,329.3,53.8,68.97,10.664053,51.7,71.7,0.033,120,0,0,14,0
72746,Mayfa‘ah,YE,Yemen,14.27533,47.58414,394,0,Asia/Aden,329.2,53.9,61.8,10.875463,37.7,45.4,0.333,120,0,0,4,2
347863,Sīwah,EG,Egypt,29.2032,25.51965,-15,25031,Africa/Cairo,328.5,54.6,75.49,9.753016,64.6,0.1,1.0,120,33,3,33,3
2477740,Tarhit Ouled Hellal,DZ,Algeria,35.08111,6.33375,1444,3062,Africa/Algiers,327.9,55.2,51.14,9.064785,15.8,7.1,0.892,120,15,4,97,5
2503878,Bir el Ater,DZ,Algeria,34.74488,8.06024,889,70749,Africa/Algiers,327.5,55.6,53.17,9.113513,28.2,4.3,0.908,120,1,1,30,1
2469251,Menzel Chaker,TN,Tunisia,34.96472,10.36944,107,2278,Africa/Tunis,327.5,55.6,55.64,9.17894,35.9,2.0,0.958,120,0,0,55,3
2507877,Aïn Touta,DZ,Algeria,35.37675,5.90001,925,55736,Africa/Algiers,327.4,55.7,50.58,9.05279,11.3,7.5,0.85,120,7,0,106,5
2501404,Cheria,DZ,Algeria,35.27306,7.75194,1094,66160,Africa/Algiers,327.3,55.8,52.64,9.103288,25.0,6.0,0.942,120,0,0,27,2
53157,Qandala,SO,Somalia,11.47197,49.87282,8,19300,Africa/Mogadishu,327.1,56.0,57.05,11.011926,24.6,31.8,0.517,120,0,0,8,0
2473457,Kasserine,TN,Tunisia,35.16758,8.83651,674,84365,Africa/Tunis,327.0,56.1,53.87,9.134037,30.6,4.1,0.95,120,30,0,44,0
2505629,Barika,DZ,Algeria,35.38901,5.36584,476,98141,Africa/Algiers,326.7,56.4,49.99,9.038713,6.3,6.5,0.908,120,6,0,81,1
352951,Mallawī,EG,Egypt,27.73264,30.84129,53,212628,Africa/Cairo,325.0,58.1,79.97,9.971396,67.5,0.6,0.983,120,1,0,49,2
11862814,El Amra,TN,Tunisia,35.14795,9.28111,399,3361,Africa/Tunis,324.1,59.0,54.37,9.146777,36.0,2.8,0.95,120,6,0,38,0
34703,Sūq Şirwāḩ,YE,Yemen,15.44933,45.01891,1480,0,Asia/Aden,323.1,60.0,65.9,10.773929,53.5,47.7,0.233,120,0,1,26,8
2473183,As Sanad,TN,Tunisia,34.4628,9.26404,600,9533,Africa/Tunis,322.9,60.2,54.61,9.149064,39.0,2.2,0.967,120,1,0,15,1
2502625,Boumagueur,DZ,Algeria,35.5052,5.5525,756,8474,Africa/Algiers,322.5,60.7,50.16,9.043462,21.3,6.2,0.908,120,7,0,147,4
2473161,Skhira,TN,Tunisia,34.2992,10.06999,33,11944,Africa/Tunis,322.4,60.8,55.58,9.173496,42.2,3.2,0.967,120,0,0,57,3
107692,Baljurashi,SA,Saudi Arabia,19.85944,41.55722,2041,51787,Asia/Riyadh,322.1,61.0,72.74,10.541676,61.7,53.0,0.158,120,8,0,11,2
411056,Ḩaydān,YE,Yemen,16.77899,43.43372,2121,0,Asia/Aden,321.5,61.7,68.78,10.689953,59.1,75.3,0.008,120,0,0,42,1
2477528,Tazoult-Lambese,DZ,Algeria,35.48171,6.26074,1205,41636,Africa/Algiers,321.3,61.8,50.94,9.06222,27.3,8.9,0.842,120,34,1,81,5
88834,Tūkrah,LY,Libya,32.53414,20.57911,16,12593,Africa/Tripoli,321.0,62.1,67.98,9.524126,62.3,7.8,0.867,120,5,1,90,9
34888,An Naz̧īr,YE,Yemen,16.90916,43.26226,1782,0,Asia/Aden,319.6,63.5,69.09,10.681104,60.7,75.2,0.008,120,0,0,76,2
2476409,Timgad,DZ,Algeria,35.49281,6.46999,1025,11828,Africa/Algiers,319.3,63.8,51.17,9.067859,31.2,8.5,0.875,120,16,1,91,5
2491889,Khenchela,DZ,Algeria,35.43583,7.14333,1128,114472,Africa/Algiers,319.2,63.9,51.92,9.08617,34.1,7.6,0.9,120,8,0,56,3
2486177,N’Gaous,DZ,Algeria,35.555,5.61056,758,29453,Africa/Algiers,319.2,63.9,50.21,9.044945,27.5,6.2,0.908,120,1,0,150,4
360159,Ar Radīsīyah Qiblī,EG,Egypt,24.90652,32.88563,97,16190,Africa/Cairo,318.9,64.3,82.32,10.115143,71.8,4.7,0.933,120,7,0,9,0
7931039,Jawl al Majma‘,YE,Yemen,14.93278,47.02763,1092,0,Asia/Aden,318.8,64.4,62.93,10.841948,50.6,43.9,0.267,120,0,0,5,2
2503852,Birine,DZ,Algeria,35.635,3.225,736,26670,Africa/Algiers,318.5,64.7,47.59,8.983575,12.6,10.2,0.825,120,0,0,26,1
2507972,Aïn Oussera,DZ,Algeria,35.45139,2.90583,685,98107,Africa/Algiers,318.4,64.7,47.28,8.975475,10.3,8.7,0.875,120,9,0,22,1
2586938,Ailet Jridani,TN,Tunisia,35.10051,10.03425,128,1705,Africa/Tunis,318.3,64.8,55.21,9.1686,44.4,2.0,0.95,120,0,0,53,1
73788,Khawrah,YE,Yemen,14.43201,46.15435,1199,0,Asia/Aden,318.0,65.1,63.78,10.834533,54.0,46.4,0.267,120,0,0,7,2
2464979,Sbeitla,TN,Tunisia,35.23151,9.12321,530,23764,Africa/Tunis,317.6,65.5,54.16,9.141944,42.4,3.7,0.942,120,5,0,37,0
77017,Bayḩān,YE,Yemen,14.80067,45.71889,2,0,Asia/Aden,317.2,65.9,64.58,10.811919,55.6,50.8,0.183,120,0,1,5,3
2508157,Ain el Hadjel,DZ,Algeria,35.67003,3.88153,544,28728,Africa/Algiers,316.8,66.4,48.29,9.000187,22.2,9.4,0.858,120,0,0,42,1
2473900,El Abadlia,TN,Tunisia,35.1399,9.85316,243,2494,Africa/Tunis,316.7,66.4,55.0,9.163193,45.3,2.5,0.958,120,0,0,18,0
2502385,Bou Saâda,DZ,Algeria,35.20855,4.17402,611,111787,Africa/Algiers,316.4,66.7,48.72,9.007649,26.1,9.2,0.858,120,7,0,25,1
2505572,Batna,DZ,Algeria,35.55597,6.17414,1037,289504,Africa/Algiers,315.9,67.2,50.82,9.059836,34.4,8.9,0.842,120,31,1,95,5
2475860,Tissemsilt,DZ,Algeria,35.60722,1.81081,866,66084,Africa/Algiers,315.8,67.3,46.06,8.948676,0.7,8.8,0.825,120,9,0,54,2
374290,Hala'ib,EG,Egypt,22.22273,36.64679,4,27000,Africa/Cairo,315.8,67.3,79.74,10.3176,71.7,14.1,0.775,120,0,0,0,0
