geonameid,name,country_code,country,latitude,longitude,elevation_m,population,timezone,duration_seconds,seconds_sacrificed,sun_altitude_deg,max_eclipse_ut_hours,distance_from_centerline_km
361391,Al Bayāḑīyah,EG,Egypt,25.66477,32.63539,86,23550,Africa/Cairo,379.1,4.0,81.8,10.086076,18.6
361394,Al Bawīţī,EG,Egypt,28.34827,28.86936,131,15653,Africa/Cairo,377.7,5.4,78.68,9.888796,19.2
350560,Qifţ,EG,Egypt,25.99845,32.81808,77,24010,Africa/Cairo,376.7,6.5,81.45,10.083362,22.2
347296,Ţimā,EG,Egypt,26.90843,31.43469,66,101130,Africa/Cairo,375.4,7.7,80.85,10.012447,25.0
360170,Armant,EG,Egypt,25.61988,32.54305,85,78695,Africa/Cairo,374.1,9.0,81.87,10.084127,28.1
348962,Şidfā,EG,Egypt,26.96637,31.37953,62,30228,Africa/Cairo,374.0,9.1,80.8,10.009079,27.1
347422,Ţūd,EG,Egypt,25.58278,32.5329,83,30780,Africa/Cairo,371.4,11.7,81.91,10.084774,32.0
362004,Abū Tīj,EG,Egypt,27.04514,31.31845,70,105418,Africa/Cairo,371.3,11.8,80.72,10.00498,30.9
361478,Al Badārī,EG,Egypt,26.99306,31.41605,62,56033,Africa/Cairo,370.8,12.3,80.77,10.009646,31.6
109253,Al Līth,SA,Saudi Arabia,20.14804,40.27224,6,72000,Asia/Riyadh,370.6,12.6,74.58,10.494209,3.5
350550,Qina,EG,Egypt,26.16418,32.72671,80,252883,Africa/Cairo,370.5,12.6,81.33,10.075853,31.7
88319,Benghazi,LY,Libya,32.11486,20.06859,3,757490,Africa/Tripoli,369.2,13.9,67.78,9.51323,0.8
359892,As Sāḩil,EG,Egypt,27.06309,31.34425,61,54094,Africa/Cairo,368.9,14.2,80.7,10.005406,34.0
359783,Assiut,EG,Egypt,27.18096,31.18368,56,528669,Africa/Cairo,367.4,15.8,80.57,9.996923,35.8
352913,Manfalūţ,EG,Egypt,27.3126,30.96987,58,117925,Africa/Cairo,367.2,15.9,80.42,9.986285,36.0
434418,An Nāşirīyah,EG,Egypt,27.20583,31.19639,59,22435,Africa/Cairo,364.6,18.5,80.55,9.996727,38.8
12495725,Bariq,SA,Saudi Arabia,18.92966,41.92953,412,75351,Asia/Riyadh,364.4,18.7,71.87,10.580843,10.9
360526,Al Qūşīyah,EG,Egypt,27.44023,30.81712,54,99598,Africa/Cairo,364.1,19.0,80.27,9.977855,39.3
110690,Abha,SA,Saudi Arabia,18.21639,42.50528,2228,210886,Asia/Riyadh,363.4,19.7,70.77,10.619556,7.2
362973,Abnūb,EG,Egypt,27.26881,31.15232,55,111785,Africa/Cairo,361.3,21.8,80.48,9.993629,42.1
89087,Al Abyār,LY,Libya,32.19,20.59653,289,32563,Africa/Tripoli,360.7,22.4,68.26,9.529783,27.8
105072,Khamis Mushait,SA,Saudi Arabia,18.3,42.73333,1998,387553,Asia/Riyadh,360.3,22.9,70.5,10.623547,15.9
8015577,Bāqim as Sūq,YE,Yemen,17.39713,43.47743,2117,0,Asia/Aden,360.2,22.9,69.05,10.672309,5.2
105343,Jeddah,SA,Saudi Arabia,21.49012,39.18624,7,4697000,Asia/Riyadh,359.6,23.5,76.38,10.420303,34.8
399518,Al Majāridah,SA,Saudi Arabia,19.132,41.924,456,14830,Asia/Riyadh,357.6,25.6,71.97,10.57451,27.2
